colorID,color_name,hexCode
1,Black_Gesso,#000000
2,Bright_Red,#DB000
3,Burnt_Umber,#8A3324
4,Cadmium_Yellow,#FFEC00
5,Dark_Sienna,#5F2E1F
6,Indian_Red,#CD5C5C
7,Indian_Yellow,#FFB800
8,Liquid_Black,#000000
9,Liquid_Clear,#FFFFFF
10,Midnight_Black,#000000
11,Phthalo_Blue,#0C0040
12,Phthalo_Green,#102E3C
13,Prussian_Blue,#021E44
14,Sap_Green,#0A3410
15,Titanium_White,#FFFFFFF
16,Van_Dyke_Brown,#221B15
17,Yellow_Ochre,#C79B00
18,Alizarin_Crimson,#4E1500
