episodeID, subjectID
EID132,"[15,22,25,59,60]"
EID133,"[8,14,17,49,59,60,62]"
EID134,"[14,15,16,28,38,49,50,53,59,60,62]"
EID135,"[3,8,14,16,17,27,42,52,56,59,60,66]"
EID136,"[8,14,15,16,17,28,33,44,50,59,60]"
EID137,"[8,14,15,16,17,27,33,38,42,53,59,60]"
EID138,"[3,12,14,17,52,56,59,60,66]"
EID139,"[4,14,41,50,57,63]"
EID140,"[14,15,33,52,59,60,62]"
EID141,"[3,14,16,17,22,33,44,56,59,60]"
EID142,"[8,17,28,49,50,59,60]"
EID143,"[9,17,26,28,56,57,59]"
EID144,"[8,14,15,16,38,39,49,50,53,59,60]"
EID145,"[14,15,16,17,28,33,38,50,59,60]"
EID146,"[8,17,44,49,59,60]"
EID147,"[4,14,16,40,41,50,63]"
EID148,"[8,9,12,14,15,17,28,33,38,39,56,59,60]"
EID149,"[8,14,15,16,17,28,38,49,53,59,60]"
EID150,"[15,28,49,59,60,62]"
EID151,"[4,12,14,41,43,63]"
EID152,"[8,14,15,17,28,38,49,53,59,60]"
EID153,"[8,15,28,38,49,53,59,60]"
EID154,"[8,14,15,16,17,27,28,38,39,42,49,57,59,60]"
EID155,"[15,38,39,49,52,53,59,60,66]"
EID156,"[8,17,28,32,33,59,60]"
EID157,"[8,9,14,15,33,38,39,52,53,56,59,60,66]"
EID158,"[12,14,17,27,28,38,42,49,59,60]"
EID159,"[8,9,12,14,15,17,49,50,56,59,60]"
EID160,"[14,17,28,38,39,49,50,59,60]"
EID161,"[17,28,49,59,60]"
EID162,"[14,15,16,44,49,59,60]"
EID163,"[14,15,16,28,38,39,49,53,59,60]"
EID164,"[8,17,33,59,60]"
EID165,"[8,14,15,16,17,38,49,53,59,60]"
EID166,"[9,15,17,33,38,39,52,56,59,60,66]"
EID167,"[14,15,27,40,41,42,50,59,60,63]"
EID168,"[15,28,33,38,39,44,53,59,60]"
EID169,"[8,14,15,16,33,38,39,44,53,59,60]"
EID170,"[15,28,49,59,60]"
EID171,"[15,17,27,28,38,39,40,42,59,60]"
EID172,"[12,14,17,22,52,59,60,66]"
EID173,"[8,14,15,16,26,27,38,39,49,50,58,59,60]"
EID174,"[12,14,15,17,38,39,49,53,59,60]"
EID175,"[4,14,16,28,41,43,63]"
EID176,"[15,38,49,52,53,57,59,60,66]"
EID177,"[14,16,17,27,42,44,49,59,60]"
EID178,"[12,14,17,29,33,38,39,53,55,59,62]"
EID179,"[17,28,33,59,60]"
EID180,"[14,17,26,27,28,42,59,60]"
EID181,"[14,15,16,17,28,33,38,53,59,60]"
EID182,"[8,12,14,15,17,52,57,59,60,66]"
EID183,"[14,16,17,28,49,59,60]"
EID184,"[3,17,22,28,44,56,59,60]"
EID185,"[9,12,14,15,27,33,38,39,42,53,56,59,60,66]"
EID186,"[4,14,16,41,50,63]"
EID187,"[9,14,15,17,28,33,56,59,60]"
EID188,"[14,16,17,28,38,39,49,50,59,60]"
EID189,"[9,14,15,16,38,39,52,53,56,59,60,66]"
EID190,"[8,17,27,28,42,44,59,60]"
EID191,"[9,17,28,44,56,59,60]"
EID192,"[17,33,50,59,60]"
EID193,"[12,14,15,28,33,38,39,59,60]"
EID194,"[14,15,16,17,26,33,38,53,59,60]"
EID195,"[9,17,28,44,56,59,60]"
EID196,"[9,14,15,17,52,56,59,60,66]"
EID197,"[8,14,15,16,26,52,59,60,66]"
EID198,"[8,14,15,16,20,27,33,38,39,53,59,60]"
EID199,"[29,46]"
EID200,"[15,49,50,59,60,62]"
EID201,"[4,14,41,43,63]"
EID202,"[3,15,22,27,42,52,56,59,60,66]"
EID203,"[14,17,29,32,33,55,59,60]"
EID204,"[8,17,49,50,59,60,62]"
EID205,"[14,16,25,28,33,38,53]"
EID206,"[17,27,42,49,50,59,60]"
EID207,"[15,26,27,42,49,59,60]"
EID208,"[9,17,22,28,44,56,59]"
EID209,"[17,28,33,38,39,59,60]"
EID210,"[4,14,16,41,50,57,63]"
EID211,"[9,17,25,27,33,42,56,59]"
EID212,"[14,15,17,49,52,59,60,66]"
EID213,"[15,38,39,49,50,59,60,62]"
EID214,"[1,6,7,17,27,33,56,59,60]"
EID215,"[15,17,25,28,29,32,33,55,59,60]"
EID216,"[17,36,49,50,56,59,62]"
EID217,"[17,26,44,59,60]"
EID218,"[15,28,38,49,53,59,60]"
EID219,"[16,25,28,29,32,33,38,53,59,60]"
EID220,"[8,14,15,16,27,31,33,38,39,59,60]"
EID221,"[8,14,16,17,28,49,59,60]"
EID222,"[9,14,15,38,39,49,52,56,59,60,66]"
EID223,"[17,28,49,59,60,62]"
EID224,"[17,28,33,59,60]"
EID225,"[8,15,33,38,39,53,59,60]"
EID226,"[17,26,28,49,59,60]"
EID227,"[14,16,17,27,30,33,52,59,60,66]"
EID228,"[4,12,14,41,63]"
EID229,"[8,17,27,49,59,60]"
EID230,"[17,44,59,60]"
EID231,"[10,12,14,38,39,44]"
EID232,"[17,49,50,57,59,60,62]"
EID233,"[17,49,52,59,60,66]"
EID234,"[14,16,17,28,33,38,59,60]"
EID235,"[17,27,42,49,57,59,60]"
EID236,"[9,15,52,56,59,60,66]"
EID237,"[8,15,28,33,38,39,59,60]"
EID238,"[17,28,49,50,59,60,62]"
EID239,"[6,15,22,27,42,49,52,56,59,60,66]"
EID240,"[8,15,17,28,38,49,59,60,62]"
EID241,"[4,14,16,41,50,57,63]"
EID242,"[17,44,59,60]"
EID243,"[14,16,17,33,50,52,59,60,66]"
EID244,"[3,15,17,22,37,40,52,56,59,60,66]"
EID245,"[8,14,15,16,28,38,39,49,53,59,60,62]"
EID246,"[14,15,16,17,33,38,53,59,60]"
EID247,"[3,15,22,28,44,56,57,59,60]"
EID248,"[15,17,38,39,52,53,59,60,66]"
EID249,"[17,26,27,42,49,50,59,60]"
EID250,"[14,15,16,33,38,39,50,53,59,60]"
EID251,"[4,13,14,41,50,63]"
EID252,"[12,14,15,38,39,49,53,59,60]"
EID253,"[17,28,49,59]"
EID254,"[14,15,16,38,49,52,53,59,60,66]"
EID255,"[6,8,9,15,17,44,56,59,60]"
EID256,"[17,38,39,49,53,59,60]"
EID257,"[9,15,17,44,49,57,59,60]"
EID258,"[8,15,26,33,38,39,52,53,59,60,66]"
EID259,"[15,33,38,39,53,59,60]"
EID260,"[15,17,26,49,57,59,60]"
EID261,"[14,15,38,39,49,50,53,59,60,62]"
EID262,"[17,25,49,59,60,62]"
EID263,"[9,17,27,42,44,56,59,60]"
EID264,"[15,33,38,52,53,59,60,66]"
EID265,"[9,15,33,50,56,59,60]"
EID266,"[4,13,14,16,17,41,50,57,59,63]"
EID267,"[8,15,59,60]"
EID268,"[14,15,16,38,39,49,52,53,59,60,66]"
EID269,"[10,14,27,38,42,44]"
EID270,"[15,28,33,38,53,59,60]"
EID271,"[4,24,41,43,63]"
EID272,"[8,14,16,17,25,49,59,60]"
EID273,"[8,15,38,39,49,53,59,60,62]"
EID274,"[15,25,49,50,59,60]"
EID275,"[14,17,27,28,32,42,49,59,60]"
EID276,"[3,17,52,56,59,66]"
EID277,"[8,17,28,49,59,60,62]"
EID278,"[15,27,38,39,47,49,53,59,60]"
EID279,"[9,13,17,28,49,59,60,62]"
EID280,"[9,15,27,33,38,39,42,44,53,56,59,60]"
EID281,"[14,15,16,38,39,52,59,60,66]"
EID282,"[4,14,27,41,42,57,63]"
EID283,"[15,49,50,59,60]"
EID284,"[15,28,49,59,60]"
EID285,"[9,15,17,22,32,52,59,60,66]"
EID286,"[8,17,28,44,59,60]"
EID287,"[14,15,16,28,33,38,39,59]"
EID288,"[14,17,27,42,49,52,57,59,60]"
EID289,"[8,15,17,32,33,50,59,60]"
EID290,"[17,28,49,59,60,62]"
EID291,"[8,15,17,33,44,59,60]"
EID292,"[15,28,38,49,50,53,59,62]"
EID293,"[8,9,17,27,28,42,49,56,59,60]"
EID294,"[15,17,28,38,49,59,60,62]"
EID295,"[9,15,17,33,52,56,59,60,66]"
EID296,"[4,13,14,41,50,57,63]"
EID297,"[8,17,27,33,38,39,42,52,53,59,66]"
EID298,"[8,15,38,49,53,59,60]"
EID299,"[17,33,59,60]"
EID300,"[9,17,38,52,53,56,59,60,66]"
EID301,"[9,15,17,27,28,42,56,59,60]"
EID302,"[14,15,17,28,38,49,50,53,59,60]"
EID303,"[14,15,33,38,39,50,59,60]"
EID304,"[8,17,44,59,60]"
EID305,"[13,17,49,50,59,60,62]"
EID306,"[15,17,27,29,33,42,52,55,59,60,66]"
EID307,"[4,5,14,27,28,32,41,42,57,63]"
EID308,"[8,15,33,38,39,52,53,59,60,66]"
EID309,"[6,15,17,28,49,50,56,59,60]"
EID310,"[9,14,15,17,22,52,59,60,66]"
EID311,"[8,15,33,38,53,59,60]"
EID312,"[17,27,42,49,59,60,62]"
EID313,"[15,33,38,52,53,59,60,66]"
EID314,"[17,33,49,59,60,62]"
EID315,"[8,14,15,29,33,38,39,53,55,59,60]"
EID316,"[8,15,26,50,59,60,62]"
EID317,"[17,22,33,59,60]"
EID318,"[17,33,59]"
EID319,"[14,15,16,17,28,49,50,59,60]"
EID320,"[14,27,41,42,43,63]"
EID321,"[9,15,33,56,57,59,60]"
EID322,"[10,12,14,38,44]"
EID323,"[8,17,22,52,59,66]"
EID324,"[8,15,26,28,49,59,60]"
EID325,"[9,17,22,28,44,56,59,60]"
EID326,"[14,15,28,38,52,53,59,60,66]"
EID327,"[8,17,28,33,38,44,53,57,59,60]"
EID328,"[8,15,17,25,28,49,59,60]"
EID329,"[9,14,15,33,38,39,52,53,56,59,60,66]"
EID330,"[17,33,52,59,60,66]"
EID331,"[15,17,27,28,33,38,42,59,60]"
EID332,"[17,49,50,59,60]"
EID333,"[4,14,16,32,41,50,63]"
EID334,"[14,15,33,38,59,60]"
EID335,"[15,40,49,59,60,62]"
EID336,"[15,17,26,27,33,42,57,59,60]"
EID337,"[15,33,38,39,50,53,59,60]"
